lk,rho,theta_perSite,theta,mu,model_recomb,pw_recomb,pw_to_model_ratio
-1138537.917,0.0,8e-05,33.086960000000005,6e-08,7.2e-11,0.0,0.0
-105457.176,3.0,3e-05,12.40761,6e-08,7.2e-11,1.4507225807387561e-08,201.48924732482726
-267825.225,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-681295.27,1.0,7e-05,28.951089999999997,6e-08,7.2e-11,2.0724608296267946e-09,28.784178189261038
-140984.177,1.0,3e-05,12.40761,6e-08,7.2e-11,4.835741935795854e-09,67.16308244160908
-188801.786,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-438487.441,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-998080.008,0.0,8e-05,33.086960000000005,6e-08,7.2e-11,0.0,0.0
-375363.288,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-347513.031,0.5,5e-05,20.67935,6e-08,7.2e-11,1.450722580738756e-09,20.148924732482723
-430172.297,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-544192.49,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-339462.057,1.5,5e-05,20.67935,6e-08,7.2e-11,4.352167742216269e-09,60.44677419744818
-698494.709,0.0,8e-05,33.086960000000005,6e-08,7.2e-11,0.0,0.0
-1095666.857,0.0,8e-05,33.086960000000005,6e-08,7.2e-11,0.0,0.0
-685075.584,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-891257.681,0.0,8e-05,33.086960000000005,6e-08,7.2e-11,0.0,0.0
-654164.401,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-1461083.082,0.0,9e-05,37.22283,6e-08,7.2e-11,0.0,0.0
-1622992.071,0.0,9e-05,37.22283,6e-08,7.2e-11,0.0,0.0
-463528.792,1.0,6e-05,24.81522,6e-08,7.2e-11,2.417870967897927e-09,33.58154122080454
-242118.802,0.0,4e-05,16.543480000000002,6e-08,7.2e-11,0.0,0.0
-833098.929,1.0,8e-05,33.086960000000005,6e-08,7.2e-11,1.813403225923445e-09,25.186155915603404
-249364.956,0.0,4e-05,16.543480000000002,6e-08,7.2e-11,0.0,0.0
-825538.497,0.5,7e-05,28.951089999999997,6e-08,7.2e-11,1.0362304148133973e-09,14.392089094630519
-390856.914,1.0,5e-05,20.67935,6e-08,7.2e-11,2.901445161477512e-09,40.297849464965445
-612602.198,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-547354.263,1.0,6e-05,24.81522,6e-08,7.2e-11,2.417870967897927e-09,33.58154122080454
-564923.874,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
