lk,rho,theta_perSite,theta,mu,model_recomb,pw_recomb,pw_to_model_ratio
-279828.197,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-498441.27,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-363312.942,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-415520.297,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-451663.893,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-376720.753,1.0,5e-05,20.67935,6e-08,7.2e-11,2.901445161477512e-09,40.297849464965445
-512690.38,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-279412.909,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-371195.367,0.5,5e-05,20.67935,6e-08,7.2e-11,1.450722580738756e-09,20.148924732482723
-515034.584,2.0,6e-05,24.81522,6e-08,7.2e-11,4.835741935795854e-09,67.16308244160908
-234658.424,0.0,4e-05,16.543480000000002,6e-08,7.2e-11,0.0,0.0
-472468.727,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-290203.035,0.5,4e-05,16.543480000000002,6e-08,7.2e-11,1.813403225923445e-09,25.186155915603404
-553971.153,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-527775.076,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-676862.414,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-243094.121,2.0,5e-05,20.67935,6e-08,7.2e-11,5.802890322955024e-09,80.59569892993089
-452569.914,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-210922.368,0.0,4e-05,16.543480000000002,6e-08,7.2e-11,0.0,0.0
-254080.246,0.5,4e-05,16.543480000000002,6e-08,7.2e-11,1.813403225923445e-09,25.186155915603404
-212681.354,1.0,4e-05,16.543480000000002,6e-08,7.2e-11,3.62680645184689e-09,50.37231183120681
-492683.929,1.5,6e-05,24.81522,6e-08,7.2e-11,3.6268064518468903e-09,50.372311831206815
-591365.262,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-272745.859,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-636311.883,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-523388.814,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-250822.703,1.5,4e-05,16.543480000000002,6e-08,7.2e-11,5.440209677770335e-09,75.55846774681021
-413755.495,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-882387.367,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
