lk,rho,theta_perSite,theta,mu,model_recomb,pw_recomb,pw_to_model_ratio
-259409358.603,0.0,0.00142,587.29354,6e-08,7.2e-11,0.0,0.0
-1038945905.475,0.0,0.00234,967.79358,6e-08,7.2e-11,0.0,0.0
-778762664.945,1.0,0.00213,880.94031,6e-08,7.2e-11,6.810904134923738e-11,0.945958907628297
-887131943.327,0.0,0.00241,996.7446699999999,6e-08,7.2e-11,0.0,0.0
-1408697428.898,0.0,0.00282,1166.31534,6e-08,7.2e-11,0.0,0.0
-570118480.009,1.0,0.00192,794.08704,6e-08,7.2e-11,7.555846774681022e-11,1.0494231631501418
-1656816460.19,0.0,0.00384,1588.17408,6e-08,7.2e-11,0.0,0.0
-1024627402.407,1.0,0.00238,984.3370600000001,6e-08,7.2e-11,6.095473028314101e-11,0.8465934761547363
-573734844.463,1.5,0.0019,785.8153,6e-08,7.2e-11,1.1453073005832286e-10,1.5907045841433731
-547655430.47,2.0,0.0018,744.4566,6e-08,7.2e-11,1.611913978598618e-10,2.238769414720303
-1182213543.01,1.0,0.00263,1087.73381,6e-08,7.2e-11,5.516055440071316e-11,0.7661188111210162
-226703294.747,0.0,0.00131,541.7989699999999,6e-08,7.2e-11,0.0,0.0
-898708094.599,2.0,0.00242,1000.8805399999999,6e-08,7.2e-11,1.198944281602278e-10,1.665200391114275
-1723176145.073,1.0,0.00303,1253.1686100000002,6e-08,7.2e-11,4.7878633027681715e-11,0.6649810142733572
-420571382.923,0.5,0.0017,703.0979,6e-08,7.2e-11,4.266831119819871e-11,0.5926154333083155
-302049482.616,1.5,0.00148,612.10876,6e-08,7.2e-11,1.470326939937929e-10,2.0421207499137903
-1266677397.462,1.5,0.00266,1100.14142,6e-08,7.2e-11,8.180766432737347e-11,1.1362175601024094
-1344654852.57,0.0,0.0029,1199.4023,6e-08,7.2e-11,0.0,0.0
-284076662.321,2.0,0.00146,603.8370199999999,6e-08,7.2e-11,1.987291206491447e-10,2.7601266756825655
-332069318.189,0.0,0.00165,682.41855,6e-08,7.2e-11,0.0,0.0
-453437018.881,0.0,0.00164,678.28268,6e-08,7.2e-11,0.0,0.0
-400029112.177,1.0,0.00167,690.69029,6e-08,7.2e-11,8.686961561309917e-11,1.2065224390708218
-1144909888.192,0.0,0.00261,1079.46207,6e-08,7.2e-11,0.0,0.0
-1807146224.984,0.5,0.00308,1273.8479599999998,6e-08,7.2e-11,2.355069124575903e-11,0.32709293396887545
-242959548.824,0.0,0.00138,570.75006,6e-08,7.2e-11,0.0,0.0
-1147019500.057,0.0,0.00253,1046.37511,6e-08,7.2e-11,0.0,0.0
-2520865558.207,0.0,0.00363,1501.32081,6e-08,7.2e-11,0.0,0.0
-984658646.108,1.5,0.00242,1000.8805399999999,6e-08,7.2e-11,8.992082112017085e-11,1.2489002933357063
-652382754.116,0.0,0.0022,909.8914000000001,6e-08,7.2e-11,0.0,0.0
-383412279.959,2.0,0.00154,636.9239799999999,6e-08,7.2e-11,1.8840552996607225e-10,2.6167434717510036
-1072476004.084,1.0,0.00249,1029.83163,6e-08,7.2e-11,5.826195103368499e-11,0.809193764356736
-730740333.988,1.5,0.00203,839.5816100000001,6e-08,7.2e-11,1.0719624980828247e-10,1.488836802892812
